cf,mfs,ts
28.04,14572886,1737504091750
1.13,14572909,1737504104562
4.78,14572984,1737504127469
6.79,14573006,1737504153221
21.05,14573052,1737504192069
1.9,14573094,1737504208602
1.96,14573161,1737504225356
4.78,14573188,1737504248182
7.78,14573216,1737504275306
1.35,14573252,1737504289565
1.37,14573298,1737504303968
2.64,14573323,1737504322641
2.25,14573349,1737504340260
2.61,14573373,1737504358842
1.66,14573406,1737504374528
3.14,14573441,1737504394333
26.02,14573463,1737504436514
1.33,14573501,1737504450678
1.72,14573565,1737504466616
21.11,14573590,1737504505544
3.1,14573617,1737504525242
1.54,14573685,1737504540442
3.86,14573721,1737504561688
23.3,14573745,1737504602090
1.33,14573781,1737504616259
5.55,14573841,1737504640355
11.59,14573867,1737504671461
1.53,14573907,1737504686608
1.77,14573950,1737504702731
4.5,14573980,1737504725131
3.81,14574005,1737504746291
1.32,14574040,1737504760409
1.2,14574075,1737504773828
11.3,14574099,1737504804680
1.03,14574123,1737504816318
2.76,14574175,1737504835284
1,14574192,1737504845846
1.62,14574220,1737504861403
22.06,14574376,1737504984922
1.04,14574400,1737504996709
1.44,14574469,1737505011486
1.49,14574489,1737505026477
3.52,14574674,1737505148505
8.05,14574713,1737505175866
2.05,14574746,1737505193147
2.12,14574794,1737505210414
5.57,14574822,1737505234518
1,14574851,1737505245078
2.63,14574892,1737505263755
1.8,14574913,1737505280015
1.02,14574944,1737505291497
1.62,14575118,1737505389449
2.3,14575141,1737505407247
1.26,14575165,1737505421029
1.01,14575198,1737505432247
1.48,14575218,1737505447206
2.53,14575242,1737505465582
4.96,14575270,1737505488729
1.18,14575297,1737505501965
2.42,14575339,1737505520078
1.16,14575357,1737505533160
1.29,14575392,1737505547143
1.07,14575415,1737505559387
2.12,14575439,1737505576650
2.64,14575465,1737505595323
5.5,14575493,1737505619306
2.07,14575527,1737505636405
2.29,14575566,1737505654179
2.01,14575597,1737505671101
3.17,14575628,1737505690969
1.85,14575660,1737505707361
2.59,14575689,1737505725917
1.59,14575717,1737505741329
1,14575750,1737505751935
1.49,14575776,1737505766921
19.38,14575793,1737505804583
2.68,14575825,1737505823299
